;Q1;Q2;Q3;Q4;Q5;C1;S1;C2;S2;C3;S3;C4;S4;C5;S5;CTotal;STotal;V1;V2;V3;V4;V5;VTotal;PTotal
62;20941;16218;129;4708;2687;52352.5;2094.1;24327.0;3243.6000000000004;7263.990000000001;38.699999999999996;24104.96;1883.2;10371.82;1343.5;118420.27000000002;8603.1;116431.95999999999;53357.22;8888.1;33897.6;17358.02;229932.9;111512.62999999998
63;13259;3384;1075;515;4527;33147.5;1325.9;5076.0;676.8000000000001;60533.25;322.5;2636.8;206.0;17474.22;2263.5;118867.77;4794.700000000001;73720.04;11133.36;74067.5;3708.0;29244.42;191873.32;73005.55
64;1031;1472;1600;2464;2910;2577.5;103.10000000000001;2208.0;294.40000000000003;90096.0;480.0;12615.68;985.6;11232.6;1455.0;118729.78;3318.1;5732.36;4842.88;110240.00000000001;17740.8;18798.6;157354.64;38624.860000000015
65;1178;20075;695;6226;4057;2945.0;117.80000000000001;30112.5;4015.0;39135.450000000004;208.5;31877.12;2490.4;15660.019999999999;2028.5;119730.09000000001;8860.2;6549.679999999999;66046.75;47885.50000000001;44827.200000000004;26208.22;191517.35;71787.26
66;15191;25925;188;1410;5611;37977.5;1519.1000000000001;38887.5;5185.0;10586.28;56.4;7219.2;564.0;21658.46;2805.5;116328.94;10130.0;84461.95999999999;85293.25;12953.2;10152.0;36247.06;229107.47;112778.53
67;7456;2125;48;9179;12262;18640.0;745.6;3187.5;425.0;2702.88;14.399999999999999;46996.48;3671.6000000000004;47331.32;6131.0;118858.18;10987.6;41455.36;6991.25;3307.2000000000003;66088.8;79212.52;197055.13;78196.95000000001
68;10099;13027;240;6524;6125;25247.5;1009.9000000000001;19540.5;2605.4;13514.400000000001;72.0;33402.88;2609.6000000000004;23642.5;3062.5;115347.78;9359.400000000001;56150.439999999995;42858.83;16536.0;46972.8;39567.5;202085.57;86737.79000000001
69;6201;1191;585;1687;14406;15502.5;620.1;1786.5;238.20000000000002;32941.35;175.5;8637.44;674.8000000000001;55607.159999999996;7203.0;114474.95;8911.6;34477.56;3918.39;40306.5;12146.4;93062.76;183911.61;69436.65999999999
70;1220;3376;59;13165;10038;3050.0;122.0;5064.0;675.2;3322.29;17.7;67404.8;5266.0;38746.68;5019.0;117587.76999999999;11099.9;6783.2;11107.04;4065.1000000000004;94788.0;64845.48;181588.82;64001.05000000002
71;18843;17943;32;5738;2602;47107.5;1884.3000000000002;26914.5;3588.6000000000004;1801.92;9.6;29378.56;2295.2000000000003;10043.72;1301.0;115246.2;9078.7;104767.07999999999;59032.47;2204.8;41313.6;16808.92;224126.87;108880.67
72;10524;6065;574;3277;9132;26310.0;1052.4;9097.5;1213.0;32321.940000000002;172.2;16778.24;1310.8000000000002;35249.52;4566.0;119757.20000000001;8314.4;58513.439999999995;19953.85;39548.600000000006;23594.4;58992.72;200603.01;80845.81
73;4279;3849;328;7340;10787;10697.5;427.90000000000003;5773.5;769.8000000000001;18469.68;98.39999999999999;37580.8;2936.0;41637.82;5393.5;114159.30000000002;9625.6;23791.239999999998;12663.210000000001;22599.2;52848.0;69684.02;181585.66999999998;67426.36999999997
74;6729;10838;706;404;11054;16822.5;672.9000000000001;16257.0;2167.6;39754.86;211.79999999999998;2068.48;161.60000000000002;42668.439999999995;5527.0;117571.28;8740.9;37413.24;35657.02;48643.4;2908.8;71408.84;196031.3;78460.01999999999
75;14623;1678;444;9409;1629;36557.5;1462.3000000000002;2517.0;335.6;25001.64;133.2;48174.08;3763.6000000000004;6287.94;814.5;118538.16;6509.200000000001;81303.87999999999;5520.62;30591.600000000002;67744.8;10523.34;195684.24;77146.07999999999
76;10143;14159;459;9112;248;25357.5;1014.3000000000001;21238.5;2831.8;25846.29;137.7;46653.44;3644.8;957.28;124.0;120053.01000000001;7752.6;56395.079999999994;46583.11;31625.100000000002;65606.40000000001;1602.08;201811.77;81758.75999999998
